WORD	FREQUENCY	LENGTH	POSITION	PHONE	SEQ_INFO	POSITION_INFO	MONOMORPHEME
sa	349863	2	1	a	1.737877876623882	1.737877876623882	F
sa	349863	2	2	s	1.5641236852555402	2.8843193671623157	F
ang	292923	2	1	N	1.843470046882436	1.843470046882436	F
ang	292923	2	2	a	0.8542674851178752	1.6083132287930866	F
ng	280929	1	1	N	1.843470046882436	1.843470046882436	F
na	265509	2	1	a	1.737877876623882	1.737877876623882	F
na	265509	2	2	n	1.9482888004848358	3.0531916838050095	F
at	114449	2	1	t	4.218286415400548	4.218286415400548	F
at	114449	2	2	a	0.4432170990877048	1.6083132287930866	F
mga	100012	3	1	a	1.737877876623882	1.737877876623882	F
mga	100012	3	2	g	3.3329808769615945	4.811521449028933	F
mga	100012	3	3	m	0.1351647435134872	3.4362208487484454	F
ni	76264	2	1	i	3.7603322111687487	3.7603322111687487	F
ni	76264	2	2	n	1.8178467547056716	3.0531916838050095	F
ay	68375	2	1	y	4.883091756129013	4.883091756129013	F
ay	68375	2	2	a	0.22475267567028637	1.6083132287930866	F
si	67147	2	1	i	3.7603322111687487	3.7603322111687487	F
si	67147	2	2	s	1.8992044925077136	2.8843193671623157	F
hindi	49646	5	1	i	3.7603322111687487	3.7603322111687487	F
hindi	49646	5	2	d	2.3331509234165777	5.27671840116923	F
hindi	49646	5	3	n	0.029901904856988005	3.3799676243404893	F
hindi	49646	5	4	i	0.07903665265390616	2.633612134982734	F
hindi	49646	5	5	h	0.014025529044708029	3.819778036171818	F
pa	36485	2	1	a	1.737877876623882	1.737877876623882	F
pa	36485	2	2	p	4.8397037618262555	6.02447447723937	F
dahil	30017	5	1	l	5.8632778234972704	5.8632778234972704	F
dahil	30017	5	2	i	0.8769129879033124	3.7043683693027765	F
dahil	30017	5	3	h	0.17761179716203912	4.582578904631761	F
dahil	30017	5	4	a	0.004353737600578628	1.6792084276028632	F
dahil	30017	5	5	d	0.020188562475700455	4.54037743685731	F
ito	29099	3	1	o	3.9203446364517123	3.9203446364517123	F
ito	29099	3	2	t	2.087056111437355	4.982906536786074	F
ito	29099	3	3	i	0.6046295341772329	3.3157360812396997	F
naman	24447	5	1	n	3.715939696578411	3.715939696578411	F
naman	24447	5	2	a	0.9495749244149603	1.6083132287930866	F
naman	24447	5	3	m	2.25200450401683	3.4362208487484454	F
naman	24447	5	4	a	0.06439019521509445	1.6792084276028632	F
naman	24447	5	5	n	0.2565579482591588	3.469932285292978	F
isang	24402	4	1	N	1.843470046882436	1.843470046882436	F
isang	24402	4	2	a	0.8542674851178752	1.6083132287930866	F
isang	24402	4	3	s	4.419611913996105	4.712058152640006	F
isang	24402	4	4	i	0.10918761240505544	2.633612134982734	F
kanyang	24003	6	1	N	1.843470046882436	1.843470046882436	F
kanyang	24003	6	2	a	0.8542674851178752	1.6083132287930866	F
kanyang	24003	6	3	y	3.5739199313973273	3.9367870891090933	F
kanyang	24003	6	4	n	0.9753921923295458	3.5944636971648354	F
kanyang	24003	6	5	a	-0.0	2.5887047074573832	F
kanyang	24003	6	6	k	0.01786031783368526	3.5722807282026077	F
niya	23884	4	1	a	1.737877876623882	1.737877876623882	F
niya	23884	4	2	y	3.725398458447017	5.066577507781618	F
niya	23884	4	3	i	0.7587903271325636	3.3157360812396997	F
niya	23884	4	4	n	1.0118049063566825	3.5944636971648354	F
siya	23727	4	1	a	1.737877876623882	1.737877876623882	F
siya	23727	4	2	y	3.725398458447017	5.066577507781618	F
siya	23727	4	3	i	0.7587903271325636	3.3157360812396997	F
siya	23727	4	4	s	1.0366657638607901	4.021759991826348	F
nang	22971	3	1	N	1.843470046882436	1.843470046882436	F
nang	22971	3	2	a	0.8542674851178752	1.6083132287930866	F
nang	22971	3	3	n	4.226315849335487	3.3799676243404893	F
lang	22082	3	1	N	1.843470046882436	1.843470046882436	F
lang	22082	3	2	a	0.8542674851178752	1.6083132287930866	F
lang	22082	3	3	l	2.8758930466405896	3.43500346903339	F
rin	20758	3	1	n	3.715939696578411	3.715939696578411	F
rin	20758	3	2	i	2.158918579135113	3.7043683693027765	F
rin	20758	3	3	r	1.5458463704547707	4.690365867297077	F
ko	16677	2	1	o	3.9203446364517123	3.9203446364517123	F
ko	16677	2	2	k	3.534234007637792	6.484452727225723	F
pero	14897	4	1	o	3.9203446364517123	3.9203446364517123	F
pero	14897	4	2	r	3.2035308838856085	5.98341746803545	F
pero	14897	4	3	e	0.6568188163308779	5.530664900460093	F
pero	14897	4	4	p	0.16198704940025882	5.6109195791569135	F
kaya	14606	4	1	a	1.737877876623882	1.737877876623882	F
kaya	14606	4	2	y	3.725398458447017	5.066577507781618	F
kaya	14606	4	3	a	2.148142441193775	2.929672593038824	F
kaya	14606	4	4	k	0.36344373846755257	4.972578002877233	F
kanilang	13295	7	1	N	1.843470046882436	1.843470046882436	F
kanilang	13295	7	2	a	0.8542674851178752	1.6083132287930866	F
kanilang	13295	7	3	l	2.8758930466405896	3.43500346903339	F
kanilang	13295	7	4	i	1.0719684535765581	2.633612134982734	F
kanilang	13295	7	5	n	1.0777286481806727	3.469932285292978	F
kanilang	13295	7	6	a	0.39391324741094613	1.7510293625525382	F
kanilang	13295	7	7	k	-0.0	3.504622057449687	F
o	11726	1	1	o	3.9203446364517123	3.9203446364517123	F
nila	11541	4	1	a	1.737877876623882	1.737877876623882	F
nila	11541	4	2	l	3.920750453238989	4.982745227661286	F
nila	11541	4	3	i	1.345282217465977	3.3157360812396997	F
nila	11541	4	4	n	0.992046837395254	3.5944636971648354	F
sila	11532	4	1	a	1.737877876623882	1.737877876623882	F
sila	11532	4	2	l	3.920750453238989	4.982745227661286	F
sila	11532	4	3	i	1.345282217465977	3.3157360812396997	F
sila	11532	4	4	s	1.3185714157303539	4.021759991826348	F
noong	11203	4	1	N	1.843470046882436	1.843470046882436	F
noong	11203	4	2	o	3.4422045844445215	3.7110334849476234	F
noong	11203	4	3	o	2.856080554590827	5.4290546464207505	F
noong	11203	4	4	n	0.16975945034443282	3.5944636971648354	F
lamang	10810	5	1	N	1.843470046882436	1.843470046882436	F
lamang	10810	5	2	a	0.8542674851178752	1.6083132287930866	F
lamang	10810	5	3	m	4.686340803387641	3.4362208487484454	F
lamang	10810	5	4	a	0.32797919671453085	1.6792084276028632	F
lamang	10810	5	5	l	0.6020667431725695	3.6377597688355405	F
wala	10641	4	1	a	1.737877876623882	1.737877876623882	F
wala	10641	4	2	l	3.920750453238989	4.982745227661286	F
wala	10641	4	3	a	1.4403357183370185	2.929672593038824	F
wala	10641	4	4	w	0.8716770428978793	6.463676570188715	F
niyang	9547	5	1	N	1.843470046882436	1.843470046882436	F
niyang	9547	5	2	a	0.8542674851178752	1.6083132287930866	F
niyang	9547	5	3	y	3.5739199313973273	3.9367870891090933	F
niyang	9547	5	4	i	1.3799011828552992	2.633612134982734	F
niyang	9547	5	5	n	0.8613539736832175	3.469932285292978	F
of	9495	2	1	f	8.429435660913331	8.429435660913331	F
of	9495	2	2	o	0.17344913860391795	3.7110334849476234	F
walang	9240	5	1	N	1.843470046882436	1.843470046882436	F
walang	9240	5	2	a	0.8542674851178752	1.6083132287930866	F
walang	9240	5	3	l	2.8758930466405896	3.43500346903339	F
walang	9240	5	4	a	2.4203328937474486	1.6792084276028632	F
walang	9240	5	5	w	0.5950098951833476	5.779123146213396	F
nga	9055	2	1	a	1.737877876623882	1.737877876623882	F
nga	9055	2	2	N	6.6888656860257525	7.954236696059387	F
siyang	8254	5	1	N	1.843470046882436	1.843470046882436	F
siyang	8254	5	2	a	0.8542674851178752	1.6083132287930866	F
siyang	8254	5	3	y	3.5739199313973273	3.9367870891090933	F
siyang	8254	5	4	i	1.3799011828552992	2.633612134982734	F
siyang	8254	5	5	s	1.1534007152941357	4.452955409238961	F
ayon	8222	4	1	n	3.715939696578411	3.715939696578411	F
ayon	8222	4	2	o	2.1057428657998156	3.7110334849476234	F
ayon	8222	4	3	y	0.9847632574169649	3.9367870891090933	F
ayon	8222	4	4	a	1.040094689801582	1.6792084276028632	F
umano	8136	5	1	o	3.9203446364517123	3.9203446364517123	F
umano	8136	5	2	n	2.980873737861623	3.0531916838050095	F
umano	8136	5	3	a	0.7906589996484823	2.929672593038824	F
umano	8136	5	4	m	1.0744514595371952	5.173332409184542	F
umano	8136	5	5	u	-0.0	4.687071011091829	F
mula	8047	4	1	a	1.737877876623882	1.737877876623882	F
mula	8047	4	2	l	3.920750453238989	4.982745227661286	F
mula	8047	4	3	u	2.585456111187692	5.040294639039133	F
mula	8047	4	4	m	0.14038562942805835	5.173332409184542	F
mo	7650	2	1	o	3.9203446364517123	3.9203446364517123	F
mo	7650	2	2	m	4.470407704859548	6.0296307272537675	F
dapat	7542	5	1	t	4.218286415400548	4.218286415400548	F
dapat	7542	5	2	a	0.4432170990877048	1.6083132287930866	F
dapat	7542	5	3	p	3.6128739060105906	4.851330292896283	F
dapat	7542	5	4	a	0.07589325924586734	1.6792084276028632	F
dapat	7542	5	5	d	0.5848349696677348	4.54037743685731	F
ngayon	7481	5	1	n	3.715939696578411	3.715939696578411	F
ngayon	7481	5	2	o	2.1057428657998156	3.7110334849476234	F
ngayon	7481	5	3	y	0.9847632574169649	3.9367870891090933	F
ngayon	7481	5	4	a	1.040094689801582	1.6792084276028632	F
ngayon	7481	5	5	N	1.1002811594052446	5.814040053433726	F
bilang	7464	5	1	N	1.843470046882436	1.843470046882436	F
bilang	7464	5	2	a	0.8542674851178752	1.6083132287930866	F
bilang	7464	5	3	l	2.8758930466405896	3.43500346903339	F
bilang	7464	5	4	i	1.0719684535765581	2.633612134982734	F
bilang	7464	5	5	b	1.9348221167341226	4.013618291351673	F
lahat	7375	5	1	t	4.218286415400548	4.218286415400548	F
lahat	7375	5	2	a	0.4432170990877048	1.6083132287930866	F
lahat	7375	5	3	h	4.281851061959133	4.582578904631761	F
lahat	7375	5	4	a	0.024055174082796147	1.6792084276028632	F
lahat	7375	5	5	l	-0.0	3.6377597688355405	F
isa	7169	3	1	a	1.737877876623882	1.737877876623882	F
isa	7169	3	2	s	1.5641236852555402	2.8843193671623157	F
isa	7169	3	3	i	5.4609278943614	3.3157360812396997	F
nasa	7125	4	1	a	1.737877876623882	1.737877876623882	F
nasa	7125	4	2	s	1.5641236852555402	2.8843193671623157	F
nasa	7125	4	3	a	5.383104097401469	2.929672593038824	F
nasa	7125	4	4	n	0.2921183810762452	3.5944636971648354	F
kahit	7118	5	1	t	4.218286415400548	4.218286415400548	F
kahit	7118	5	2	i	2.3564985427629397	3.7043683693027765	F
kahit	7118	5	3	h	2.4258689963825923	4.582578904631761	F
kahit	7118	5	4	a	0.017926912498244515	1.6792084276028632	F
kahit	7118	5	5	k	-0.0	4.485613347245066	F
habang	7006	5	1	N	1.843470046882436	1.843470046882436	F
habang	7006	5	2	a	0.8542674851178752	1.6083132287930866	F
habang	7006	5	3	b	5.269672218529869	5.047647852664762	F
habang	7006	5	4	a	0.8454365621833758	1.6792084276028632	F
habang	7006	5	5	h	0.15221790952723022	3.819778036171818	F
upang	6818	4	1	N	1.843470046882436	1.843470046882436	F
upang	6818	4	2	a	0.8542674851178752	1.6083132287930866	F
upang	6818	4	3	p	6.218365010196286	4.851330292896283	F
upang	6818	4	4	u	0.13444844363382866	3.7320188412735913	F
ba	6797	2	1	a	1.737877876623882	1.737877876623882	F
ba	6797	2	2	b	6.643461287392077	6.709931617478697	F
po	6203	2	1	o	3.9203446364517123	3.9203446364517123	F
po	6203	2	2	p	4.603890041119574	6.02447447723937	F
biktima	6048	7	1	a	1.737877876623882	1.737877876623882	F
biktima	6048	7	2	m	5.391185137385068	6.0296307272537675	F
biktima	6048	7	3	i	2.0128025498623634	3.3157360812396997	F
biktima	6048	7	4	t	0.08198175306767083	4.983913249919118	F
biktima	6048	7	5	k	-0.0	4.485613347245066	F
biktima	6048	7	6	i	-0.0	3.4876543807293516	F
biktima	6048	7	7	b	-0.0	4.591042719853853	F
dalawang	6046	7	1	N	1.843470046882436	1.843470046882436	F
dalawang	6046	7	2	a	0.8542674851178752	1.6083132287930866	F
dalawang	6046	7	3	w	5.607211786859785	5.880840403110391	F
dalawang	6046	7	4	a	0.1805310487360688	1.6792084276028632	F
dalawang	6046	7	5	l	0.5304680282943521	3.6377597688355405	F
dalawang	6046	7	6	a	-0.0	1.7510293625525382	F
dalawang	6046	7	7	d	0.23812342503588366	5.264403055945695	F
namin	6041	5	1	n	3.715939696578411	3.715939696578411	F
